season,day_type,settlement_period,demand_kw
autumn,saturday,1,0.31
autumn,saturday,2,0.27
autumn,saturday,3,0.24
autumn,saturday,4,0.22
autumn,saturday,5,0.2
autumn,saturday,6,0.19
autumn,saturday,7,0.19
autumn,saturday,8,0.19
autumn,saturday,9,0.19
autumn,saturday,10,0.19
autumn,saturday,11,0.19
autumn,saturday,12,0.2
autumn,saturday,13,0.23
autumn,saturday,14,0.27
autumn,saturday,15,0.33
autumn,saturday,16,0.4
autumn,saturday,17,0.44
autumn,saturday,18,0.47
autumn,saturday,19,0.47
autumn,saturday,20,0.48
autumn,saturday,21,0.48
autumn,saturday,22,0.47
autumn,saturday,23,0.45
autumn,saturday,24,0.47
autumn,saturday,25,0.49
autumn,saturday,26,0.49
autumn,saturday,27,0.45
autumn,saturday,28,0.42
autumn,saturday,29,0.41
autumn,saturday,30,0.41
autumn,saturday,31,0.41
autumn,saturday,32,0.43
autumn,saturday,33,0.46
autumn,saturday,34,0.52
autumn,saturday,35,0.58
autumn,saturday,36,0.57
autumn,saturday,37,0.61
autumn,saturday,38,0.68
autumn,saturday,39,0.71
autumn,saturday,40,0.69
autumn,saturday,41,0.67
autumn,saturday,42,0.63
autumn,saturday,43,0.63
autumn,saturday,44,0.58
autumn,saturday,45,0.55
autumn,saturday,46,0.52
autumn,saturday,47,0.46
autumn,saturday,48,0.4
autumn,sunday,1,0.35
autumn,sunday,2,0.3
autumn,sunday,3,0.24
autumn,sunday,4,0.22
autumn,sunday,5,0.21
autumn,sunday,6,0.2
autumn,sunday,7,0.19
autumn,sunday,8,0.19
autumn,sunday,9,0.19
autumn,sunday,10,0.18
autumn,sunday,11,0.19
autumn,sunday,12,0.2
autumn,sunday,13,0.2
autumn,sunday,14,0.22
autumn,sunday,15,0.27
autumn,sunday,16,0.32
autumn,sunday,17,0.37
autumn,sunday,18,0.44
autumn,sunday,19,0.49
autumn,sunday,20,0.54
autumn,sunday,21,0.55
autumn,sunday,22,0.55
autumn,sunday,23,0.56
autumn,sunday,24,0.59
autumn,sunday,25,0.63
autumn,sunday,26,0.64
autumn,sunday,27,0.61
autumn,sunday,28,0.57
autumn,sunday,29,0.47
autumn,sunday,30,0.47
autumn,sunday,31,0.46
autumn,sunday,32,0.48
autumn,sunday,33,0.48
autumn,sunday,34,0.51
autumn,sunday,35,0.54
